75,,,,,,,,,,,,,,,,,,,,,,,,
6.7,,,Rage,Antecipation,Joy,Trust,Fear,Distraction,Sadness,Disgust,,,,,,,,,,,,,,
,,Number of Times,63,60,69,66,67,60,61,60,,,,,,,,,,,,,,
,,,34,19,26,6,32,24,32,17,35,5,25,20,24,10,29,12,28,27,18,26,33,24
,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,lowHealth,,hasAnyInjuries,,enemyOnSight,,strongEnemy,,WasAtacked,,collectablesOnSight,,holdingCollectables,,friendInDanger,,alliesNearBy,,EnemyDiedLastTurn,FriendDiedLastTurn,missedLastAtack,doneACritical
13,x,adventurous,,trust,sadness,trust,joy,antecipation,distraction,trust,antecipation,,,,,,,trust,,,trust,disgust,rage,joy
7,x,alert,antecipation,,disgust,,,,rage,antecipation,,,,,,,rage,,trust,,,,antecipation,
4,x,compassionate,,,,,,,,,,,,,,,rage,,joy,sadness,,rage,,
5,x,courageous,,,,,joy,,trust,distraction,,,,,,,,,,,trust,,,trust
3,x,curious,,,,,,,,,,,joy,antecipation,joy,,,,,,,,,
15,x,dramatic,fear,,fear,,sadness,antecipation,fear,,fear,,antecipation,,joy,sadness,rage,,joy,sadness,,sadness,disgust,trust
4,x,friendly,,,,,,,,,,,,,,,fear,trust,joy,sadness,,,,
8,x,heroic,,trust,,,,,trust,distraction,,,,,,,antecipation,joy,trust,distraction,joy,,,
7,x,individualistic,,,,,,,,,,,antecipation,,joy,,,,disgust,joy,,disgust,sadness,joy
8,x,manly,disgust,joy,disgust,,joy,,rage,,rage,,,,,,,,,,,,rage,joy
6,x,optimistic,,trust,,,,joy,,,,trust,trust,,,,,,trust,,,,,antecipation
6,,prudent,,trust,,,disgust,antecipation,,,,,,,,,,,,antecipation,,fear,fear,
5,x,relaxed,,,,,,distraction,,distraction,,,,distraction,,,,distraction,,,,,,distraction
3,,responsible,antecipation,,,,disgust,,,,,,antecipation,,,,,,,,,,,
3,x,selfless,,,,,,,,,,,,,,,antecipation,,trust,,,sadness,,
6,x,selfCritical,fear,,rage,,,,fear,,fear,,,,fear,,,,,,,,fear,
22,x,sentimental,fear,trust,fear,trust,antecipation,distraction,disgust,trust,fear,trust,joy,sadness,trust,sadness,fear,distraction,joy,sadness,trust,rage,disgust,joy
9,,Aggressive,rage,,rage,,joy,,rage,antecipation,rage,,,,,,rage,,,,,rage,,joy
4,,Ambitious,,,,,,,,,,,distraction,antecipation,joy,antecipation,,,,,,,,
7,,Determined,antecipation,trust,,,,trust,,trust,,,trust,,trust,antecipation,,,,,,,,
9,,Impressionable,fear,,,,disgust,,fear,,,,,,,,fear,,trust,,trust,fear,sadness,trust
6,,Intense,rage,,,,antecipation,,,,antecipation,,,,,,,,,,joy,sadness,,trust
4,,Maternal,,,,,,,,,,,,,,,rage,,joy,antecipation,,sadness,,
6,,Old-fashined,rage,,fear,,,antecipation,,,rage,,distraction,,,,rage,,,,,,,
6,,Political,,,,,,,,,sadness,,,,,,rage,joy,joy,distraction,joy,,,
4,,Preoccupied,,,,,,antecipation,,,,,,antecipation,,,,,,antecipation,,,fear,
7,,Proud,,trust,,,,,,,rage,,,,trust,,trust,,,,distraction,,rage,joy
4,,Stubborn,,trust,,,,,,,,,trust,antecipation,trust,,,,,,,,,
7,,Abrasive,,,,,,sadness,joy,sadness,rage,,,,,,,,,,,rage,sadness,rage
3,,Aimless,,,,,,distraction,,,,,,distraction,,,,,,distraction,,,,
5,,Airy,,distraction,,,trust,distraction,,trust,,distraction,,,,,,,,,,,,
5,,Angry,rage,,rage,,,,,,rage,,,,,,,,,,,rage,rage,
6,,Apathetic,disgust,,disgust,,disgust,,,,sadness,,,,,,disgust,,sadness,,,,,
7,,Brutal,,,,,joy,sadness,joy,,rage,,,,,,,,,,joy,,joy,joy
3,,Careless,,trust,,distraction,trust,,,,,,,,,,,,,,,,,
4,,Cautious,antecipation,,,,,antecipation,disgust,antecipation,,,,,,,,,,,,,,
11,,Childish,fear,,,,,,,,rage,,antecipation,distraction,,,fear,,distraction,sadness,Joy,Fear,disgust,trust
5,,Clumsy,,,,,,distraction,,distraction,,distraction,joy,,distraction,,,,,,,,,
6,,Compulsive,,,,,distraction,,,,,,joy,distraction,joy,,,distraction,distraction,,,,,
8,,Condemnatory,sadness,,sadness,,sadness,,sadness,,fear,,,,,,sadness,,,,,sadness,fear,
6,,Cowardly,Fear,,Fear,,Disgust,,Fear,,,,Disgust,,,,,,,Sadness,,,,
7,,Cynical,sadness,,,,,trust,,,disgust,,,,,,joy,disgust,disgust,,disgust,,,
6,,Delicate,,,,,,,,,sadness,,,,joy,,fear,,,sadness,,fear,sadness,
7,,Dependent,,,antecipation,,,,fear,,,,,,,,,antecipation,distraction,fear,,fear,disgust,
6,,Desperate,rage,fear,,,,antecipation,,,,,,,,,,,,disgust,,fear,fear,
9,,Devious,joy,distraction,rage,,disgust,,joy,,joy,,,antecipation,,,,,,,,,rage,rage
6,,Discontented,sadness,,,,,,sadness,,disgust,,,sadness,,,disgust,,,sadness,,,,
6,,Disrespectful,,,,,disgust,,disgust,,,,,,,,disgust,distraction,,,joy,disgust,,
6,,EasilyDiscouraged,sadness,,sadness,,fear,,fear,,fear,,,,,disgust,,,,,,,,
6,,Egocentric,,,,,,,,,disgust,,,,joy,sadness,,,distraction,,trust,,disgust,
8,,Escapist,distraction,,distraction,,,,distraction,,,,trust,,trust,,fear,,distraction,,,fear,,
8,,Gloomy,sadness,,disgust,,disgust,distraction,disgust,,disgust,,,sadness,,sadness,,,,,,,,
6,x,Greedy,,,,,,,antecipation,,,,joy,antecipation,joy,antecipation,,,,,,,,trust
7,,Hateful,,,,,,,,,rage,,,,,,rage,,disgust,,joy,rage,rage,antecipation
6,,Hesitant,disgust,,,,,,,,,,distraction,,disgust,,disgust,,,fear,,,disgust,
6,,Hostile,rage,,rage,,rage,,rage,,rage,,,,,,,,disgust,,,,,
5,,Ignorant,,,,,rage,,disgust,,rage,,,,,,,,,,,,rage,joy
12,,Impatient,,,,,trust,rage,antecipation,distraction,rage,,trust,rage,,sadness,,,trust,sadness,,,rage,rage
11,,Impulsive,,,,,antecipation,distraction,,,rage,,antecipation,distraction,,,,,joy,sadness,trust,disgust,disgust,trust
4,,Indecisive,,,,,distraction,,distraction,,,,distraction,,,,distraction,,,,,,,
12,,Insecure,fear,,fear,,disgust,antecipation,disgust,antecipation,fear,antecipation,,,fear,,,,,fear,,fear,fear,
5,,Lazy,,,,,,,,,,,,distraction,joy,,,distraction,distraction,,,,sadness,
8,,Malicious,,,antecipation,,joy,,antecipation,,disgust,,,,,,disgust,,,,joy,,rage,joy
5,,Melancholic,fear,,fear,,,,,,sadness,,,,,,sadness,,,sadness,,,,
14,,Moody,sadness,joy,,,sadness,joy,,,,,joy,sadness,trust,,fear,,trust,disgust,trust,sadness,sadness,joy
8,,Naive,,joy,,,,,,distraction,,,distraction,,joy,,,,trust,fear,trust,,,joy
8,,Negativistic,fear,,fear,,fear,,fear,,sadness,,,fear,fear,,,,,,,,fear,
7,,Neurotic,fear,antecipation,fear,antecipation,antecipation,,disgust,,antecipation,,,,,,,,,,,,,
4,,Opportunistic,,,,,,,,,,,joy,,joy,,,,joy,antecipation,,,,
8,,Paranoid,rage,fear,rage,fear,,antecipation,,antecipation,,,,,,,,antecipation,,fear,,,,
3,,Possessive,,,,,,,,,,,antecipation,,joy,antecipation,,,,,,,,
10,,Pretentious,,trust,,trust,trust,distraction,trust,distraction,,,trust,distraction,joy,,,,joy,,,,,
3,,Procrastinating,,distraction,,,,,,,,,,distraction,,,,,,distraction,,,,
6,,Regretful,sadness,,disgust,,,,,,disgust,,,,,,sadness,,,,,sadness,disgust,
6,,Resentful,sadness,,disgust,,,,,,rage,,,,,,rage,,,,,rage,disgust,
